fips_code,run_start_time_day,any_out,num_out_per_day,minutes_out,customers_out,customers_out_mean,cust_minute_area,customers_total,pct_out_max,pct_out_area
06073,2021-05-11,1,3,1110,3660,526.3424657534247,576345,1362929,0.0026853930028636853,0.00029366135971377333
06073,2021-05-12,1,1,1440,930,238.58333333333334,343560,1362929,0.0006823539597440512,0.0001750519163751988
06073,2021-05-13,1,1,1440,2921,300.5833333333333,432840,1362929,0.002143178404744488,0.00022054218035813555
06073,2021-05-14,1,1,1440,2921,791.625,1139940,1362929,0.002143178404744488,0.0005808262939595533
06073,2021-05-15,1,4,1275,5374,355.08235294117645,452730,1362929,0.003942978687811324,0.00023067660408820513
06073,2021-05-16,1,2,1380,1953,343.67391304347825,474270,1362929,0.0014329433154625076,0.00024165174170236796
06073,2021-05-17,1,3,1185,2235,325.43037974683546,385635,1362929,0.001639850645191349,0.00019649012041957675
06073,2021-05-18,1,1,1440,2052,662.5208333333334,954030,1362929,0.0015055809950481646,0.0004861007677827189
06073,2021-05-19,1,2,1365,9487,617.6373626373627,843075,1362929,0.006960744103324531,0.00042956658050419353
06073,2021-05-20,1,1,1440,5322,851.4895833333334,1226145,1362929,0.003904825563180474,0.0006247497729766799
06073,2021-05-21,1,2,1290,1714,478.4767441860465,617235,1362929,0.0012575856849476384,0.00031449577833230245
06073,2021-05-22,1,2,1215,3469,306.65432098765433,372585,1362929,0.002545253641238832,0.00018984083788174832
06073,2021-05-23,1,4,1035,655,215.65671641791045,216735,1362929,0.0004805826275616705,0.00011043159010239467
06073,2021-05-24,1,2,1365,2517,600.5384615384615,819735,1362929,0.0018467579749201902,0.0004176743004710199
06073,2021-05-25,1,1,1440,1551,362.125,521460,1362929,0.0011379903135086274,0.000265696158787435
06073,2021-05-26,1,3,1335,1410,453.24719101123594,605085,1362929,0.0010345366486442067,0.00030830506700397944
06073,2021-05-27,1,1,1440,1598,246.4375,354870,1362929,0.0011724748684634344,0.00018081462790798346
06073,2021-05-28,1,1,1440,842,313.46875,451395,1362929,0.0006177871334456894,0.00022999639012743876
06073,2021-05-29,1,1,1440,243,116.98958333333333,168465,1362929,0.0001782924862557037,8.583688756592115e-05
06073,2021-05-30,1,1,1440,3517,75.55208333333333,108795,1362929,0.0025804719101288477,5.543361637571241e-05
06073,2021-05-31,1,2,645,54,52.76744186046512,34035,1362929,3.962055250126749e-05,1.7341634572796283e-05
06073,2021-06-01,1,1,1440,817,185.07291666666666,266505,1362929,0.0005994442850654729,0.0001357905779880439
06073,2021-06-02,1,2,1185,1568,101.75949367088607,120585,1362929,0.0011504634504071745,6.144089922023329e-05
06073,2021-06-03,1,1,1440,2888,395.125,568980,1362929,0.0021189658448826022,0.0002899087186493207
06073,2021-06-04,1,1,1440,2789,382.21875,550395,1362929,0.002046328165296945,0.000280439223173034
06073,2021-06-05,1,1,1440,709,82.40625,118665,1362929,0.000520203180062938,6.046261397328841e-05
06073,2021-06-06,1,2,1380,906,74.8804347826087,103335,1362929,0.0006647448252990435,5.2651617704712915e-05
06073,2021-06-07,1,2,1110,3428,307.2027027027027,340995,1362929,0.002515171369895277,0.00017374498842810839
06073,2021-06-08,1,1,1440,3278,518.2395833333334,746265,1362929,0.0024051142796139785,0.00038023960406839485
06073,2021-06-09,1,1,1440,972,489.5729166666667,704985,1362929,0.0007131699450228148,0.00035920647125908003
06073,2021-06-10,1,3,1080,990,274.6388888888889,296610,1362929,0.0007263767958565707,0.00015112978494599986
06073,2021-06-11,1,2,1380,2855,384.1195652173913,530085,1362929,0.002094753285020716,0.0002700907995451952
06073,2021-06-12,1,2,1290,3958,791.2674418604652,1020735,1362929,0.0029040397555558655,0.0005200885372605616
06073,2021-06-13,1,1,1440,3244,733.21875,1055835,1362929,0.002380168005816884,0.0005379728144312727
06073,2021-06-14,1,1,1440,4294,904.625,1302660,1362929,0.003150567637785974,0.0006637359686381316
